"","stationid","lab","sampleid","matrix","labbatch","n_total","n_particles_sub","n_plastic_con","n_spec_correct","mass_g_dry","stratumtype","n_g_sed_dw","total_mda","mda_flag"
"17","B23-12119","University of California, Riverside","B23_12119_S","Sediment","3",96,76,36,45.4736842105263,53.44660656,"Embayment",0.850824535688282,34,NA
"18","B23-12008","University of California, Riverside","B23_12008_S_2","Sediment","1",60,60,41,41,46.21929567,"Embayment",0.887075395798648,28,NA
"19","B23-12087","University of California, Riverside","B23_12087_S","Sediment","2",109,75,68,98.8266666666667,51.20245104,"Embayment",1.93011593506455,29,NA
"20","B23-12022","Oregon State University","B23_12022_S","Sediment","7",93,75,9,11.16,75,"Embayment",0.1488,18,NA
"21","B23-12044","University of California, Riverside","B23_12044_S_2","Sediment","6",110,93,45,53.2258064516129,73.99380872,"Embayment",0.719327837995537,20,NA
"22","B23-12213","Oregon State University","B23_12213_S","Sediment","5",61,56,5,5.44642857142857,80,"Offshore",0.0680803571428571,33,NA
"23","B23-12134","Oregon State University","B23_12134_S","Sediment","6",88,75,32,37.5466666666667,50,"Embayment",0.750933333333333,33,NA
"24","B23-12019","University of California, Riverside","B23_12019_S_3","Sediment","4",26,26,11,11,50.42384553,"Embayment",0.218150755547898,53,"Total particle count < MDA"
"25","B23-12081","University of California, Riverside","B23_12081_S","Sediment","1",179,73,61,149.575342465753,38.45425052,"Embayment",3.88969594890322,28,NA
"26","B23-12210","Oregon State University","B23_12210_S","Sediment","5",50,50,6,6,70,"Offshore",0.0857142857142857,33,NA
"27","B23-12203","Oregon State University","B23_12203_S","Sediment","2",87,77,27,30.5064935064935,75,"Offshore",0.406753246753247,54,NA
"28","B23-12195","Oregon State University","B23_12195_S","Sediment","7",41,41,10,10,80,"Offshore",0.125,18,NA
"29","SC-SSP","California State University, Long Beach","B23_SSP_SED","Sediment","4",36,36,36,36,39.368,"Estuary",0.914448282869336,16,NA
"30","B23-12049","University of California, Riverside","B23_12049_S_2","Sediment","4",380,75,67,339.466666666667,58.97605506,"Embayment",5.75600837189443,53,NA
"31","B23-12143","University of California, Riverside","B23_12143_S","Sediment","9",301,75,50,200.666666666667,49.234716,"Embayment",4.07571492169604,26,NA
"32","B23-12035","University of California, Riverside","B23_12035_S_3","Sediment","8",102,74,37,51,60.32024976,"Embayment",0.845487215369912,34,NA
"33","B23-12061","University of California, Riverside","B23_12061_S_2","Sediment","6",210,75,52,145.6,47.3179482,"Embayment",3.07705649840498,20,NA
"34","B23-12084","University of California, Riverside","B23_12084_S","Sediment","2",133,74,52,93.4594594594595,56.57203031,"Embayment",1.65204357961569,29,NA
"35","B23-12126","University of California, Riverside","B23_12126_S","Sediment","9",70,49,26,37.1428571428571,45.86180291,"Embayment",0.809886545798187,26,NA
"36","B23-12023","University of California, Riverside","B23_12023_S","Sediment","10",45,41,18,19.7560975609756,60.83739371,"Embayment",0.324736093317033,22,NA
"37","B23-12127","University of California, Riverside","B23_12127_S","Sediment","8",66,46,18,25.8260869565217,63.84036945,"Embayment",0.404541627484609,34,NA
"38","B23-12027","University of California, Riverside","B23_12027_S","Sediment","5",226,75,37,111.493333333333,44.2179,"Embayment",2.52145247362117,18,NA
